member_id,join_date,join_store,birth_year,gender,tier,phone_hash,email,opt_in_marketing
M000001,2025-01-23,S04,1989,F,一般,9e129820293d3844,tsai.yijun27@icloud.com,1
M000002,2025-01-26,S01,2003,F,銀卡,7e1f1827b5434cec,lu.ruoyu77@icloud.com,1
M000003,2026-01-20,S03,1980,F,銀卡,62276f87f6c6535b,hsieh.mingchieh68@hotmail.com,1
M000004,2026-05-13,S03,1980,F,銀卡,67433a82b86effdf,HSIEH.MINGCHIEH68@HOTMAIL.COM,0
M000005,2025-12-02,S02,1974,M,一般,b3134df17394bbcb,,0
M000006,2026-03-30,S01,2004,F,一般,840fbc26852408b1,liao.chiahao39@yahoo.com.tw,1
M000007,2025-02-09,S01,2004,M,銀卡,8513244a8d253b3c,cheng.peichun98@msa.hinet.net,1
M000008,2025-11-23,S04,1972,F,一般,349a691b9d279ba4,,0
M000009,2025-02-26,S03,2004,F,一般,f283693149e7a04f,chiang.chunhui80@icloud.com,1
M000010,2025-08-09,S01,1972,F,金卡,22d4984f7e3f8735,su.yuchen43@gmail.com,1
M000011,2025-03-27,S03,,M,一般,09453d1839695df3,huang.polin50@outlook.com,0
M000012,2025-07-21,S02,1977,F,一般,f8ab97897e6cdf6c,,1
M000013,2025-08-26,S04,1993,M,一般,6e4c4adba809034b,lu.tsungyen49@outlook.com,0
M000014,2025-03-19,S02,1994,F,一般,46aedd0bda84d019,hsu.hungyu08@outlook.com,1
M000015,2026-01-25,S01,1987,F,一般,82d865c2166869d4,lu.chiahao55@gmail.com,1
M000016,2025-02-17,S01,1959,M,銀卡,fd28c07e1ed3890c,huang.hsinyi76@outlook.com,1
M000017,2025-03-19,S06,1986,F,一般,6da6010fbab24ac8,chiang.hsinyi72@hotmail.com,0
M000018,2025-02-27,S06,1987,M,一般,08bbfb8079a29e88,,0
M000019,2025-04-24,S01,1965,F,銀卡,23f44abd6c4ea752,hsieh.peiyu10@icloud.com,1
M000020,2025-05-08,S99,2000,F,一般,823bd99a39bf8756,,1
M000021,2025-02-27,S04,1991,M,VIP,10b434c44e038f57,,1
M000022,2025-02-01,S99,1989,M,一般,667572554242df92,su.tzuchi62@hotmail.com,0
M000023,2025-10-13,S02,1997,M,金卡,c4bef0e6792d723f,chen.hsinyi63@outlook.com,0
M000024,2025-10-11,S05,1955,M,一般,638386de7b74b2e0,chang.mingchieh90@gmail.com,1
M000025,2025-01-12,S03,1968,M,VIP,c7166e8d480751d7,chiang.yijun15@icloud.com,1
M000026,2025-03-08,S02,,F,銀卡,c73d350f86e37fbc,hsieh.peichun09@outlook.com,1
M000027,2025-12-23,S03,1991,F,一般,7022ff3651811956,,1
M000028,2025-04-24,S99,1993,M,一般,d1dc939611971a81,hung.chihyuan56@hotmail.com,1
M000029,2025-12-31,S01,1994,F,一般,620619ab8426262f,tsai.tzuchi79@gmail.com,1
M000030,2025-09-24,S04,1992,M,VIP,a3760df6fe7ca0aa,chen.kuanting14@msa.hinet.net,1
M000031,2025-02-22,S03,2000,F,一般,2dca8b5b758e6e98,chou.yijun06@outlook.com,1
M000032,2025-01-31,S03,2000,F,一般,75181ffa35dc125f,yeh.tzuchi26@outlook.com,1
M000033,2026-01-24,S04,1998,F,銀卡,bdffe20a9373e5b5,su.chengen33@gmail.com,1
M000034,2025-02-16,S05,1969,M,一般,8b1433198edea59f,li.shuchen15@msa.hinet.net,1
M000035,2025-01-20,S03,2001,F,一般,d6d7afbbd12eb94b,lin.shuchen74@hotmail.com,1
M000036,2025-01-08,S05,1998,F,一般,8dbc82195eb17797,,1
M000037,2025-01-26,S99,1985,M,一般,5bcb3bc596a8ab7a,chiu.hungyu81@gmail.com,0
M000038,2025-06-24,S06,1997,F,銀卡,1e50131c30c717cf,yang.hungyu83@yahoo.com.tw,1
M000039,2025-02-09,S01,,M,銀卡,29040322b02ba1e2,hung.weiting28@msa.hinet.net,0
M000040,2025-05-04,S01,1995,M,一般,c4bf1727b328b61d,lai.ruoyu47@msa.hinet.net,0
M000041,2025-11-24,S06,1972,F,一般,08d498f4b8ecc271,,1
M000042,2025-06-04,S01,1971,M,一般,261f3aab1b3f884a,lai.peiyu56@icloud.com,1
M000043,2025-06-29,S99,1969,F,一般,d8352ef33d72d672,lin.peiyu44@msa.hinet.net,0
M000044,2025-09-02,S02,2000,F,金卡,470d3d905abf9509,tseng.chihyuan39@gmail.com,1
M000045,2025-09-16,S01,1992,F,一般,de22766ac51dbad5,tsai.yating83@msa.hinet.net,1
M000046,2025-12-23,S01,2004,M,一般,c4eb49ff9527dd49,,1
M000047,2025-09-07,S05,1943,F,一般,23d7dce762311bbe,hsu.yuhsuan84@outlook.com,1
M000048,2026-02-26,S05,1943,F,一般,30b702c80452b754, hsu.yuhsuan84@outlook.com ,0
M000049,2025-01-31,S99,,F,VIP,3c0f276397cd802a,liu.yuchen83@icloud.com,1
M000050,2025-05-20,S05,1948,F,銀卡,d8f9fc696abd292c,li.yuchen59@msa.hinet.net,1
M000051,2025-01-13,S05,1977,F,銀卡,6b2e9b0785dd9178,lai.kuanting04@outlook.com,1
M000052,2025-02-03,S03,2001,F,一般,f25bf22d0aa14fcd,kuo.yuhsuan58@outlook.com,1
M000053,2025-11-22,S04,1988,M,VIP,d8259672c9e58a2a,chung.yuhsuan18@icloud.com,0
M000054,2025-03-29,S02,1992,M,一般,a565ca760789f91c,li.tzuchi33@gmail.com,0
M000055,2025-03-22,S04,1967,F,VIP,f8b5f87dcced3abf,yeh.chihyuan30@outlook.com,1
M000056,2025-07-26,S03,1986,F,一般,f9d454a7bd70f41a,yang.chunhui58@icloud.com,0
M000057,2025-02-23,S03,2008,F,一般,5eb63811ba807d78,,1
M000058,2025-04-29,S06,1995,F,一般,95899923dddcf483,kuo.peiyu18@outlook.com,1
M000059,2025-12-17,S01,1971,F,一般,f1663999aee06aed,lai.chiahao39@outlook.com,0
M000060,2025-01-21,S04,1990,M,金卡,a239058ab1e630bc,chang.yuchen84@hotmail.com,1
M000061,2025-10-16,S01,,F,一般,7319d3c7ca838d20,,1
M000062,2025-11-16,S02,1974,M,一般,228b3fe3d4d0aa01,,0
M000063,2026-02-05,S01,1990,F,一般,2c21372c3ea18c51,lai.chihyuan41@icloud.com,1
M000064,2026-04-15,S03,2003,F,一般,5fd3a4d32c009acc,lu.ruoyu13@msa.hinet.net,1
M000065,2025-11-05,S99,1968,F,一般,06113ea3acb4f4cd,kuo.polin81@gmail.com,1
M000066,2025-10-29,S02,1972,M,金卡,23121686552de5f1,lin.ruoyu96@icloud.com,1
